Diseases,DiseasesGroups,Number of Cases,Social History,Family History,Adhd,Alcohol Dependency,Analgesic,Antacid (H2),Antidiabetic ,Anticoagulant,Antibiotic ,Antidepressant,Antiepileptic,Antifungal,Antihistamine,Antihypertensive,High Blood Pressure,Cholesterol,Depression,High Blood Pressure,Hormone replacement,"Ulcer, Heartburn",Discharge Condition
clostridium difficil,Infectious Diseases,67,Cluster 1,Cluster 2,0,0,0,4,4,3,88,61,2,1,0,88,3,0,0,0,0,0,Stable
bacilliformi,Infectious Diseases,0,Cluster 1,Cluster 3,0,0,0,6,0,1,89,48,1,0,0,89,4,0,0,0,0,0,Stable
fragili,Infectious Diseases,4,Cluster 5,Cluster 1,0,0,0,5,0,1,90,43,1,0,0,90,3,0,0,0,0,0,Stable
coccidioidomycosi,Infectious Diseases,2,Cluster 1,Cluster 3,0,0,0,5,5,1,90,42,1,0,0,90,3,0,0,0,0,0,Stable
herpes zoster vaccin,Infectious Diseases,23,Cluster 2,Cluster 1,0,0,0,6,0,0,89,41,0,0,0,89,4,0,0,0,0,0,Transfer
kyasanur forest,Infectious Diseases,0,Cluster 1,Cluster 7,0,0,0,5,5,0,90,37,0,0,0,90,4,0,0,0,0,0,Stable
"influenza, avian",Infectious Diseases,31,Cluster 1,Cluster 1,0,0,0,5,5,0,91,34,0,0,0,91,3,0,0,0,0,0,Stable
schenckii,Infectious Diseases,0,Cluster 1,Cluster6,0,0,0,5,5,0,91,34,0,0,0,91,3,0,0,0,0,0,Stable
cystoisospora,Infectious Diseases,21,Cluster 1,Cluster 1,0,0,0,5,0,4,88,64,2,1,0,88,3,0,0,0,0,0,Stable
alkhurma,Infectious Diseases,13,Cluster 2,Cluster 2,0,0,0,5,5,2,88,56,1,1,0,88,4,0,0,0,0,0,Stable
flea borne typhu,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,5,0,2,89,51,1,1,0,89,3,0,0,0,0,0,Transfer
std,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,5,0,2,88,56,1,0,0,88,4,0,0,0,0,0,Stable
balamuthiamandrillari,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,5,5,2,89,50,1,1,0,89,3,0,0,0,0,0,Stable
tick-born,Infectious Diseases,0,Cluster 2,Cluster 3,0,0,0,5,5,2,89,50,1,1,0,89,3,0,0,0,0,0,Stable
quintana,Infectious Diseases,0,Cluster 3,Cluster 4,0,0,0,5,0,7,81,108,5,2,0,81,6,0,0,0,0,0,Stable
"throat, strep",Infectious Diseases,25,Cluster 1,Cluster 5,0,0,0,5,5,3,88,61,2,1,0,88,3,0,0,0,0,0,Stable
shigella,Infectious Diseases,12,Cluster 1,Cluster 6,0,0,0,5,5,3,88,61,2,1,0,88,3,0,0,0,0,0,Transfer
staph,Infectious Diseases,1,Cluster 1,Cluster 7,0,0,1,40,2,5,9,370,3,1,0,9,40,1,1,0,0,1,Stable
vibriosi,Infectious Diseases,1,Cluster 1,Cluster 8,2,0,1,22,4,12,12,396,1,8,1,12,50,1,0,2,0,1,Stable
fungal pneumonia,Infectious Diseases,0,Cluster 2,Cluster 9,7.1,0,1,19,6,17,15,411,2,12,2,15,46,1,0,7,0,1,Stable
zoonotic enter,Infectious Diseases,0,Cluster 1,Cluster 1,0.4,0,0,25,16,5,66,149,3,1,0,66,3,0,0,0,0,0,Stable
guinea worm,Infectious Diseases,9,Cluster 1,Cluster 2,0,0,0,16,0,0,81,74,0,0,0,81,3,0,0,0,0,0,Stable
marburg,Infectious Diseases,0,Cluster 1,Cluster 4,0,0,0,7,7,20,71,208,18,1,0,71,2,0,0,0,0,0,Transfer
escherichia coli,Infectious Diseases,0,Cluster 3,Cluster 1,0,0,0,7,0,11,78,138,7,3,0,78,4,0,0,0,0,0,Stable
pediculu,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,7,0,14,71,181,9,4,1,71,7,0,0,0,0,0,Stable
toxocariasi,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,5,5,17,75,178,13,2,0,75,3,0,0,0,0,0,Stable
prion,Infectious Diseases,0,Cluster 4,Cluster 2,0,0,0,2,1,18,48,282,12,5,1,48,27,1,1,0,0,0,Stable
kingia,Infectious Diseases,0,Cluster 1,Cluster 3,0,0,2,73,73,1,4,339,0,0,0,4,12,2,1,0,0,2,Stable
hab,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,5,5,0,93,24,0,0,0,93,1,0,0,0,0,0,Transfer
vibrio il,Infectious Diseases,18,Cluster 1,Cluster 3,0,0,2,74,74,1,3,353,1,0,0,3,13,1,1,0,0,2,Stable
visa/vrsa,Infectious Diseases,5,Cluster 5,Cluster 1,0,0,0,5,5,0,93,27,0,0,0,93,1,0,0,0,0,0,Stable
blastomycosi,Infectious Diseases,102,Cluster 1,Cluster 7,0,0,0,11,11,6,82,100,3,1,1,82,1,0,0,0,0,0,Stable
typhoid,Infectious Diseases,0,Cluster 2,Cluster 1,0,0,0,24,24,13,60,224,11,1,0,60,3,0,0,0,0,0,Stable
pam,Infectious Diseases,0,Cluster 1,Cluster6,1.2,0,0,24,15,0,72,112,0,0,0,72,4,0,0,1,0,0,Stable
noroviru,Infectious Diseases,0,Cluster 1,Cluster 1,1.2,0,0,24,15,0,72,112,0,0,0,72,4,0,0,1,0,0,Transfer
cre,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,19,19,0,75,95,0,0,0,75,4,0,0,0,0,0,Stable
burgdorferi,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,19,19,0,75,95,0,0,0,75,4,0,0,0,0,0,Stable
tularensi,Infectious Diseases,0,Cluster 2,Cluster 1,0,0,0,19,19,1,74,102,1,0,0,74,4,0,0,0,0,0,Stable
influenza,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,19,19,1,74,102,1,0,0,74,4,0,0,0,0,0,Stable
cronobact,Infectious Diseases,6,Cluster 1,Cluster 3,0,0,0,19,0,1,74,105,1,0,0,74,5,0,0,0,0,0,Stable
staphylococcus aureu,Infectious Diseases,116,Cluster 1,Cluster 4,0,0,0,19,19,1,75,99,1,0,0,75,4,0,0,0,0,0,Transfer
cholera,Infectious Diseases,0,Cluster 2,Cluster 5,0,0,0,19,19,1,75,99,1,0,0,75,4,0,0,0,0,0,Stable
flea typhu,Infectious Diseases,0,Cluster 3,Cluster 6,0,0,0,19,3,1,74,105,1,0,0,74,5,0,0,0,0,0,Stable
southern tick,Infectious Diseases,6,Cluster 1,Cluster 7,0,0,0,19,3,1,74,105,1,0,0,74,5,0,0,0,0,0,Stable
dracunculiasi,Infectious Diseases,0,Cluster 1,Cluster 8,0,0,0,7,7,2,85,63,1,0,0,85,5,0,0,0,0,0,Stable
tetanu,Infectious Diseases,4,Cluster 1,Cluster 9,0,0,0,8,8,0,85,56,0,0,0,85,6,0,0,0,0,0,Stable
zygomycosi,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,5,5,3,88,61,2,1,0,88,3,0,0,0,0,0,Transfer
vibrioalkhurma,Infectious Diseases,22,Cluster 2,Cluster 2,0,0,0,8,8,0,87,43,0,0,0,87,4,0,0,0,0,0,Stable
diphyllobothriasi,Infectious Diseases,0,Cluster 1,Cluster 4,0,0,0,8,8,0,87,43,0,0,0,87,4,0,0,0,0,0,Stable
filoviruss,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,14,14,1,79,85,1,0,0,79,5,0,0,0,0,0,Stable
aspergillosi,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,14,14,1,79,85,1,0,0,79,5,0,0,0,0,0,Stable
bartonella,Infectious Diseases,0,Cluster 3,Cluster 1,1.6,0,0,3,0,1,92,23,0,0,0,92,3,0,0,2,0,0,Stable
hookworm zoonot,Infectious Diseases,0,Cluster 1,Cluster 2,18.8,0,0,56,19,0,6,188,0,0,0,6,0,0,8,19,0,0,Transfer
klebsiella,Infectious Diseases,150,Cluster 1,Cluster 3,3.2,0,0,5,0,1,84,23,0,0,0,84,2,0,3,3,0,0,Stable
hansendiseas,Infectious Diseases,0,Cluster 4,Cluster 1,2.1,0,1,7,0,1,86,43,0,1,0,86,3,0,0,2,0,1,Stable
rat-bite fev,Infectious Diseases,0,Cluster 1,Cluster 3,3.3,0,0,11,8,1,85,48,0,0,0,85,1,0,0,3,0,0,Stable
flea-borne typhu,Infectious Diseases,52,Cluster 1,Cluster 1,3.3,0,0,5,1,4,83,67,0,3,1,83,4,0,1,3,0,0,Stable
anthrax,Infectious Diseases,1,Cluster 1,Cluster 7,8,0,1,15,0,1,79,70,0,0,1,79,4,0,0,8,0,1,Stable
hendra virus diseas,Infectious Diseases,30,Cluster 5,Cluster 1,14.1,0,1,21,0,6,68,131,3,1,1,68,3,0,0,14,0,1,Transfer
bunyaviruss,Infectious Diseases,0,Cluster 1,Cluster6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,Stable
campi,Infectious Diseases,136,Cluster 2,Cluster 1,29.8,0,2,52,0,6,11,285,2,0,3,11,20,1,0,30,0,2,Stable
lougehrig,Infectious Diseases,746,Cluster 1,Cluster 2,6.8,0,0,8,0,1,86,44,0,0,0,86,3,0,0,7,0,0,Stable
mad cow,Infectious Diseases,0,Cluster 1,Cluster 1,21.6,0,1,72,0,9,8,263,3,1,2,8,6,1,0,22,0,1,Stable
extensively drug-resistant tb,Infectious Diseases,178,Cluster 1,Cluster 1,14.6,0,1,50,0,16,10,337,1,10,3,10,18,1,0,15,0,1,Stable
herpes b,Infectious Diseases,0,Cluster 1,Cluster 2,37.7,0,3,48,2,4,10,233,2,1,0,10,23,2,0,38,0,3,Transfer
hepatitis a,Infectious Diseases,0,Cluster 2,Cluster 3,26.3,0,1,75,0,8,5,313,2,2,2,5,8,1,0,26,0,1,Stable
chlamydia psittaci,Infectious Diseases,4,Cluster 1,Cluster 4,38,0,1,50,1,15,10,333,1,7,3,10,20,1,0,38,0,1,Stable
pneumonia,Infectious Diseases,0,Cluster 1,Cluster 5,28,0,1,68,0,7,8,311,1,1,0,8,11,0,0,28,0,1,Stable
cmv,Infectious Diseases,957,Cluster 1,Cluster 6,11.8,0,1,41,1,25,6,392,2,16,4,6,18,2,0,12,0,1,Stable
bovine spongiform encephalopathi,Infectious Diseases,0,Cluster 2,Cluster 7,11.3,0,5,49,0,4,7,237,0,1,2,7,23,1,0,11,0,5,Transfer
fascioliasi,Infectious Diseases,0,Cluster 3,Cluster 8,34.8,0,2,50,7,14,11,282,2,3,8,11,13,0,2,35,0,2,Transfer
cruzi,Infectious Diseases,0,Cluster 1,Cluster 9,53.1,0,0,81,2,1,11,247,0,0,0,11,4,1,0,53,0,0,Stable
middle east respiratory syndrome coronaviru,Infectious Diseases,310,Cluster 1,Cluster 1,34.2,0,1,61,2,20,7,323,5,1,7,7,6,1,0,34,0,1,Transfer
yersiniosi,Infectious Diseases,0,Cluster 1,Cluster 2,10.4,1,4,52,7,5,7,279,0,2,0,7,22,1,0,10,1,4,Stable
granulomatous amebic enceph,Infectious Diseases,0,Cluster 1,Cluster 4,41.9,0,1,55,0,18,9,298,1,14,2,9,12,1,0,42,0,1,Stable
kawasaki,Infectious Diseases,0,Cluster 2,Cluster 1,10.5,0,2,44,2,22,8,375,2,14,3,8,18,1,0,11,0,2,Stable
contagiosum,Infectious Diseases,0,Cluster 1,Cluster 2,33.2,0,2,58,3,14,10,325,2,6,3,10,13,0,0,33,0,2,Stable
plagu,Infectious Diseases,0,Cluster 1,Cluster 1,21.1,0,1,55,0,15,8,305,1,9,1,8,16,2,0,21,0,1,Stable
stroke,Infectious Diseases,3,Cluster 1,Cluster 2,13.6,0,3,56,0,4,7,253,0,0,0,7,20,2,0,14,0,3,Transfer
"mononucleosis, infecti",Infectious Diseases,0,Cluster 3,Cluster 3,39.8,0,2,52,0,15,9,345,0,10,2,9,16,1,0,40,0,2,Stable
cepacia,Infectious Diseases,6,Cluster 1,Cluster 1,24.6,0,1,58,0,6,9,323,1,0,0,9,23,0,0,25,0,1,Stable
sar,Infectious Diseases,15,Cluster 1,Cluster 3,9,0,1,73,2,1,6,331,0,0,0,6,17,0,0,9,0,1,Stable
je,Infectious Diseases,0,Cluster 4,Cluster 1,14.1,0,1,72,3,4,10,335,3,0,1,10,9,0,0,14,0,1,Stable
measl,Infectious Diseases,14,Cluster 1,Cluster 7,20.2,0,0,51,0,32,8,475,10,11,4,8,7,0,0,20,0,0,Stable
cat scratch,Infectious Diseases,0,Cluster 1,Cluster 1,40.3,0,2,61,4,7,8,271,1,1,4,8,13,2,0,40,0,2,Transfer
ctf,Infectious Diseases,0,Cluster 1,Cluster6,12.2,0,1,28,7,36,5,508,2,23,10,5,26,0,0,12,0,1,Stable
crimean-congo hemorrhagic fev,Infectious Diseases,0,Cluster 5,Cluster 1,20.8,0,0,49,28,36,6,525,26,3,0,6,6,0,0,21,0,0,Stable
tb,Infectious Diseases,51,Cluster 1,Cluster 2,15.2,0,1,79,7,1,5,341,0,0,0,5,10,0,0,15,0,1,Stable
salmonellosi,Infectious Diseases,99,Cluster 2,Cluster 1,42.5,0,1,69,4,4,10,265,2,1,1,10,9,2,0,43,0,1,Stable
streptococcus pneumonia,Infectious Diseases,0,Cluster 1,Cluster 1,34.9,0,2,54,10,13,11,282,2,2,8,11,14,0,0,35,0,2,Stable
esophageal candidiasi,Infectious Diseases,3814,Cluster 1,Cluster 2,26.7,0,3,51,7,5,6,292,1,0,4,6,27,1,0,27,0,3,Transfer
carbapenemcorynebacterium,Infectious Diseases,18,Cluster 1,Cluster 3,25.3,0,1,64,1,3,12,251,1,1,1,12,10,0,0,25,0,1,Stable
onchocerciasi,Infectious Diseases,0,Cluster 1,Cluster 4,27.2,0,2,57,10,17,8,318,3,3,8,8,12,0,0,27,0,2,Stable
lassafev,Infectious Diseases,37509,Cluster 2,Cluster 5,26.2,0,0,69,0,2,11,296,1,1,1,11,10,0,0,26,0,0,Stable
klebsiella pneumonia,Infectious Diseases,1,Cluster 1,Cluster 6,19.5,0,1,28,3,42,6,525,5,6,29,6,18,1,0,20,0,1,Stable
la crosse encep,Infectious Diseases,43,Cluster 1,Cluster 7,11.3,0,1,66,3,8,9,307,3,1,2,9,10,1,0,11,0,1,Stable
taenia,Infectious Diseases,0,Cluster 1,Cluster 8,14.8,0,1,69,8,13,8,342,7,1,1,8,6,1,0,15,0,1,Transfer
schistosoma,Infectious Diseases,47,Cluster 2,Cluster 9,42.6,0,1,64,0,15,9,331,7,3,2,9,5,1,0,43,0,1,Stable
poliomyel,Infectious Diseases,0,Cluster 3,Cluster 1,3.9,0,2,65,0,6,12,310,2,0,2,12,11,0,0,4,0,2,Stable
tick-borne relapsing fev,Infectious Diseases,13,Cluster 1,Cluster 2,40.3,0,1,61,2,13,8,315,7,2,2,8,11,2,0,40,0,1,Stable
"amebiasis, intestin",Infectious Diseases,0,Cluster 1,Cluster 4,45.7,0,1,69,0,6,9,272,3,0,0,9,7,2,0,46,0,1,Stable
variant virus,Infectious Diseases,0,Cluster 1,Cluster 1,7.4,0,3,50,0,7,8,295,2,0,4,8,23,1,0,7,0,3,Stable
cysticercosi,Infectious Diseases,0,Cluster 1,Cluster 2,37,0,1,64,2,7,8,276,3,0,1,8,9,2,0,37,0,1,Transfer
methicillin resistant staphylococcus aureu,Infectious Diseases,217,Cluster 2,Cluster 1,21.1,0,3,65,3,10,11,354,3,2,2,11,8,0,0,21,0,3,Stable
sporothrix,Infectious Diseases,0,Cluster 1,Cluster 2,14,0,1,24,0,2,65,101,0,0,1,65,6,0,0,14,0,1,Stable
fasciolopsi,Infectious Diseases,51,Cluster 1,Cluster 3,0,0,0,13,13,0,53,288,0,0,0,53,0,0,0,0,0,0,Stable
scarlet fev,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,2,0,0,64,237,0,0,0,64,0,0,0,0,0,0,Stable
hantavirus pulmonari,Infectious Diseases,0,Cluster 3,Cluster 3,0,0,0,14,14,0,86,56,0,0,0,86,0,0,0,0,0,0,Stable
dengu,Infectious Diseases,491,Cluster 1,Cluster 1,0,0,0,17,15,0,76,88,0,0,0,76,0,0,0,0,0,0,Transfer
polio,Infectious Diseases,3,Cluster 1,Cluster 7,0,0,0,1,0,0,94,21,0,0,0,94,0,0,0,0,0,0,Stable
exserohilumrostratum,Infectious Diseases,440,Cluster 4,Cluster 1,0,0,0,0,0,0,95,18,0,0,0,95,0,0,0,0,0,0,Stable
bilharzia,Infectious Diseases,0,Cluster 1,Cluster6,0,0,0,0,0,0,94,19,0,0,0,94,0,0,0,0,0,0,Stable
lassa,Infectious Diseases,0,Cluster 1,Cluster 1,1.7,0,0,69,42,5,14,344,0,3,2,14,5,1,0,2,0,0,Stable
coxiellaburnetii,Infectious Diseases,0,Cluster 1,Cluster 2,0.5,0,0,20,12,2,78,96,1,0,0,78,1,0,0,1,0,0,Stable
leptospira,Infectious Diseases,0,Cluster 5,Cluster 1,0.2,0,0,12,11,0,87,51,0,0,0,87,0,0,0,0,0,0,Transfer
wart,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,11,7,0,88,46,0,0,0,88,0,0,0,0,0,0,Stable
raccoon roundworm,Infectious Diseases,68,Cluster 2,Cluster 2,1.8,0,0,11,8,1,85,62,0,0,0,85,3,0,0,2,0,0,Stable
encephalomyel,Infectious Diseases,2,Cluster 1,,0.9,0,0,12,11,0,88,51,0,0,0,88,0,0,0,1,0,0,Stable
spirillum minu,Infectious Diseases,45,Cluster 1,,2.3,0,0,77,28,10,4,421,2,3,4,4,6,0,0,2,0,0,Stable
botul,Infectious Diseases,19,Cluster 1,,1,0,0,16,15,0,83,68,0,0,0,83,0,0,0,1,0,0,Stable
scabi,Infectious Diseases,264,Cluster 1,,0.4,0,0,18,13,1,79,89,1,0,0,79,3,0,0,0,0,0,Transfer
francisellatularensi,Infectious Diseases,52,Cluster 2,,1.6,0,0,21,11,0,77,91,0,0,0,77,1,0,0,2,0,0,Stable
hib,Infectious Diseases,25,Cluster 1,,2.6,0,0,6,2,3,87,59,1,1,0,87,3,0,0,3,0,0,Stable
pneumocysti,Infectious Diseases,0,Cluster 1,,2.3,0,0,5,3,0,94,26,0,0,0,94,1,0,0,2,0,0,Stable
bovine spongiform,Infectious Diseases,1,Cluster 1,,8.2,0,0,75,3,3,7,365,0,1,2,7,11,1,0,8,0,0,Stable
pseudomallei,Infectious Diseases,0,Cluster 2,,0.6,0,0,10,5,3,82,84,2,1,0,82,4,0,0,1,0,0,Stable
corynebacterium,Infectious Diseases,26,Cluster 3,,6.5,0,0,86,1,3,1,404,1,1,1,1,9,0,0,7,0,0,Transfer
varicella zost,Infectious Diseases,0,Cluster 1,,0.9,0,0,6,0,5,86,79,2,2,1,86,3,0,0,1,0,0,Stable
pseudomonas aeruginosa,Infectious Diseases,0,Cluster 1,,0,0,0,12,0,4,75,111,0,0,0,75,9,0,0,0,0,0,Stable
orfviru,Infectious Diseases,0,Cluster 2,,7.1,0,1,58,0,7,5,374,1,1,3,5,25,1,0,7,0,1,Stable
tick fev,Infectious Diseases,454,Cluster 1,,0,0,0,13,0,4,74,112,0,0,0,74,7,0,0,0,0,0,Stable
fungal,Infectious Diseases,0,Cluster 1,,7.5,0,0,73,1,4,7,379,1,1,2,7,12,1,0,8,0,0,Stable
fasciola,Infectious Diseases,0,Cluster 1,,0.8,0,0,12,5,3,79,96,2,1,0,79,4,0,0,1,0,0,Transfer
acinetobact,Infectious Diseases,0,Cluster 2,,1.2,0,0,18,8,0,80,83,0,0,0,80,1,0,0,1,0,0,Stable
lyme,Infectious Diseases,210,Cluster 3,,1.2,0,0,18,8,1,80,82,0,0,0,80,1,0,0,1,0,0,Stable
marburghemorrhag,Infectious Diseases,0,Cluster 1,,7.8,0,1,77,7,5,5,391,1,1,2,5,11,1,0,8,0,1,Stable
parvoviru,Infectious Diseases,0,Cluster 1,,0.4,0,0,10,6,3,82,86,2,1,0,82,4,0,0,0,0,0,Stable
naegleria,Infectious Diseases,0,Cluster 1,,0,0,0,16,0,4,74,115,0,0,0,74,5,0,0,0,0,0,Stable
(csd),Infectious Diseases,0,Cluster 1,,9,0,0,70,4,8,6,399,1,3,2,6,13,1,0,9,0,0,Transfer
carrion,Infectious Diseases,0,Cluster 2,Cluster 1,1.1,0,0,15,0,4,75,116,2,0,0,75,5,0,0,1,0,0,Stable
myiasi,Infectious Diseases,0,Cluster 1,Cluster 2,0.8,0,0,16,9,1,82,75,0,0,0,82,1,0,0,1,0,0,Stable
h1n1 flu,Infectious Diseases,0,Cluster 1,Cluster 4,0.8,0,0,15,10,1,82,74,0,0,0,82,1,0,0,1,0,0,Stable
japaneseenceph,Infectious Diseases,0,Cluster 1,Cluster 1,5.2,0,1,73,14,6,5,393,1,1,2,5,12,1,0,5,0,1,Stable
kyasanur,Infectious Diseases,3671,Cluster 3,Cluster 2,0.4,0,0,10,6,3,82,86,2,1,0,82,4,0,0,0,0,0,Stable
ppv,Infectious Diseases,224,Cluster 1,Cluster 1,0,0,0,69,0,7,6,391,0,0,0,6,14,1,0,0,0,0,Transfer
pid,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,15,0,4,75,115,0,0,0,75,5,0,0,0,0,0,Stable
evd,Infectious Diseases,0,Cluster 4,Cluster 3,0.5,0,0,78,0,5,7,391,1,1,2,7,7,1,0,1,0,0,Stable
ascari,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,10,5,3,82,85,2,1,0,82,3,0,0,0,0,0,Stable
mycot,Infectious Diseases,0,Cluster 1,Cluster 3,1,0,0,17,2,0,81,80,0,0,0,81,1,0,0,1,0,0,Stable
soil helminth,Infectious Diseases,0,Cluster 1,Cluster 1,1,0,1,80,17,4,5,404,1,1,2,5,9,1,0,1,0,1,Stable
vancomycin-resist,Infectious Diseases,89,Cluster 5,Cluster 7,0.1,0,0,10,6,3,82,86,2,1,0,82,4,0,0,0,0,0,Transfer
"ehrlichiosis, human",Infectious Diseases,2,Cluster 1,Cluster 1,0,0,0,17,0,3,74,115,0,0,0,74,4,0,0,0,0,0,Stable
antimicrobial resist,Infectious Diseases,0,Cluster 2,Cluster6,0.6,0,0,18,11,0,80,82,0,0,0,80,1,0,0,1,0,0,Stable
ebola,Infectious Diseases,9,Cluster 1,Cluster 1,12.2,0,1,77,22,5,2,402,1,1,2,2,13,1,0,12,0,1,Stable
americantrypanosomiasi,Infectious Diseases,152,Cluster 1,Cluster 2,0.9,0,0,7,0,2,89,52,1,1,0,89,2,0,0,1,0,0,Stable
trench,Infectious Diseases,0,Cluster 1,Cluster 1,0.9,0,0,7,0,2,89,51,1,1,0,89,2,0,0,1,0,0,Transfer
dipylidium,Infectious Diseases,173,Cluster 1,Cluster 1,0,0,0,8,0,2,87,58,0,1,0,87,2,0,0,0,0,0,Transfer
ancylostoma,Infectious Diseases,2,Cluster 2,Cluster 2,0.2,0,0,19,10,0,80,78,0,0,0,80,0,0,0,0,0,0,Death
rocky mountain spotted fev,Infectious Diseases,102,Cluster 1,Cluster 3,3.4,0,0,74,24,13,6,435,3,5,4,6,7,0,0,3,0,0,Stable
borrelia,Infectious Diseases,0,Cluster 1,Cluster 4,0.2,0,1,67,24,13,6,433,2,6,3,6,12,0,0,0,0,1,Transfer
microsporidia,Infectious Diseases,0,Cluster 1,Cluster 5,0.2,0,0,71,0,14,6,442,1,8,1,6,8,0,0,0,0,0,Stable
resistant staphylococcus aureuss,Infectious Diseases,6,Cluster 2,Cluster 6,1.8,0,0,15,4,0,83,68,0,0,0,83,1,0,0,2,0,0,Stable
homini,Infectious Diseases,0,Cluster 3,Cluster 7,4,0,0,67,13,20,2,477,2,16,1,2,8,0,1,4,0,0,Stable
hemorrhagic fev,Infectious Diseases,144,Cluster 1,Cluster 8,0.8,0,0,14,11,1,84,68,0,0,0,84,1,0,0,1,0,0,Stable
hpv,Infectious Diseases,0,Cluster 1,Cluster 9,0.5,0,0,17,4,1,81,79,0,0,0,81,1,0,0,1,0,0,Stable
fish poison,Infectious Diseases,324,Cluster 1,Cluster 1,0.4,0,0,17,14,1,81,77,0,0,0,81,1,0,0,0,0,0,Transfer
respiratory syncyti,Infectious Diseases,9,Cluster 1,Cluster 2,0.3,0,0,18,17,0,81,69,0,0,0,81,0,0,0,0,0,0,Stable
trachoma,Infectious Diseases,0,Cluster 2,Cluster 4,0.3,0,0,18,9,0,82,68,0,0,0,82,0,0,0,0,0,0,Stable
mycobacterium avium complex,Infectious Diseases,87,Cluster 1,Cluster 1,0.2,0,0,18,12,1,79,86,0,0,0,79,2,0,0,0,0,0,Stable
transmissible spongiform encephalopathi,Infectious Diseases,236,Cluster 1,Cluster 2,0,0,0,16,12,2,80,85,1,1,0,80,2,0,0,0,0,0,Stable
vancomycin intermediate resistant staphylococcus aureu,Infectious Diseases,0,Cluster 1,Cluster 1,1.4,0,0,19,18,0,80,79,0,0,0,80,0,0,0,1,0,0,Stable
otitis media,Infectious Diseases,1,Cluster 3,Cluster 2,1.4,0,0,20,18,0,80,75,0,0,0,80,0,0,0,1,0,0,Transfer
luhf,Infectious Diseases,0,Cluster 1,Cluster 3,0.6,0,0,17,12,0,82,63,0,0,0,82,0,0,0,1,0,0,Stable
whitmorediseas,Infectious Diseases,0,Cluster 1,Cluster 1,0.6,0,0,16,13,0,83,59,0,0,0,83,0,0,0,1,0,0,Stable
lymphatic filariasi,Infectious Diseases,0,Cluster 4,Cluster 3,0.6,0,0,18,0,1,80,80,1,0,0,80,1,0,0,1,0,0,Stable
hymenolepi,Infectious Diseases,21,Cluster 1,Cluster 1,0.7,0,0,20,10,0,78,81,0,0,0,78,1,0,0,1,0,0,Stable
borrelia burgdorferi,Infectious Diseases,22,Cluster 1,Cluster 7,0.7,0,0,18,12,0,81,67,0,0,0,81,0,0,0,1,0,0,Stable
legionnair,Infectious Diseases,0,Cluster 1,Cluster 1,0.7,0,0,18,11,0,82,65,0,0,0,82,0,0,0,1,0,0,Transfer
borreliosi,Infectious Diseases,0,Cluster 5,Cluster6,0.4,0,0,18,7,0,81,76,0,0,0,81,1,0,0,0,0,0,Stable
tick born,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,16,0,0,83,60,0,0,0,83,0,0,0,0,0,0,Stable
filariasi,Infectious Diseases,87,Cluster 2,Cluster 2,1.8,0,0,11,8,1,85,65,0,0,0,85,2,0,0,2,0,0,Stable
choriomening,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,9,0,3,82,82,0,0,0,82,5,0,0,0,0,0,Stable
baylisascari,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,10,0,2,82,77,0,0,0,82,4,0,0,0,0,0,Stable
herpes genit,Infectious Diseases,1,Cluster 1,Cluster 2,1.1,0,0,7,1,2,88,57,1,1,0,88,3,0,0,1,0,0,Transfer
yersinia,Infectious Diseases,21,Cluster 1,Cluster 3,1.3,0,0,8,1,2,87,63,1,1,0,87,2,0,0,1,0,0,Stable
corynebacterium diphtheria,Infectious Diseases,0,Cluster 2,Cluster 4,1.1,0,0,6,1,1,87,51,1,0,0,87,5,0,0,1,0,0,Stable
xdr tb,Infectious Diseases,0,Cluster 1,Cluster 5,1.8,0,0,6,2,7,84,96,3,3,1,84,2,0,0,2,0,0,Stable
non-polio enteroviruss,Infectious Diseases,0,Cluster 1,Cluster 6,1.4,0,0,6,1,2,87,62,1,1,0,87,4,0,0,1,0,0,Stable
tapeworm,Infectious Diseases,0,Cluster 1,Cluster 7,0.6,0,0,9,1,2,85,66,0,1,0,85,4,0,0,1,0,0,Stable
babesia,Infectious Diseases,0,Cluster 2,Cluster 8,1.1,0,0,9,1,1,88,51,0,0,0,88,2,0,0,1,0,0,Transfer
